MOLECULE_NAME,SMILES,CHILOGD_10.5
302-215-10,CC(C)(C)N1CCN(Cc2cc3nc(Nc4ccccc4NC(=O)C(F)F)cc(N4CCOCC4)n3n2)CC1,2.94
302-301-01,NC(=O)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)CC1,1.05
302-313-01,Clc1nc(N2CCOCC2)c2ncnc2n1,-1.96
302-313-12,CC(C)(O)C1CCN(Cc2nc3nc(Cl)nc(N4CCOCC4)c3n2)CC1,-0.97
302-314-01,OCC1CCCN1Cc1cc2nc(cc(N3CCOCC3)n2n1)-n1c(nc2ccccc12)C(F)F,1.91
302-315-01,CCOC(=O)C1CCCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)C1,3.8
302-316-02,CCn1c(CN2CCN(CC2)C(C)(C)C(N)=O)nc2c(nc(nc12)-c1cccc2[nH]ccc12)N1CCOCC1,2.75
302-319-02,CN(C)C1CCN(Cc2nc3c(nc(nc3[nH]2)-c2cccc3[nH]ccc23)N2CCOCC2)CC1,1.41
302-321-02,CN(C)C1CCN(Cc2nc3c(nc(nc3[nH]2)-c2c(F)ccc3[nH]ccc23)N2CCOCC2)CC1,0.83
302-323-02,CC(C)(N1CCN(Cc2nc3c(nc(nc3[nH]2)-c2cccc3[nH]ccc23)N2CCOCC2)CC1)C(N)=O,0.67
302-324-01,CCn1c(CN2CCN(CC2)C(C)(C)C(N)=O)nc2c(nc(nc12)-c1c(F)ccc2[nH]ccc12)N1CCOCC1,2.28
302-325-01,CC(C)(C)OC(=O)NC1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)C1,3.36
302-327-02,CC(C)(N1CCN(Cc2nc3c(nc(nc3[nH]2)-c2c(F)ccc3[nH]ccc23)N2CCOCC2)CC1)C(N)=O,0.17
302-334-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CNC3CCOCC3)cc2n1,1.64
302-345-02,Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCC(CC3)C(C)(C)O)[nH]c2n1,-0.04
